DateTime,AddedIPs,RemovedIPs
1510357321,32,32
1510357921,4,4
1510358521,19,19
1510359121,22,22
1510360321,54,54
1510361521,57,57
1510362121,28,28
1510362721,31,31
1510363321,18,18
1510364521,82,82
1510365121,40,40
1510365721,26,26
1510366321,36,36
1510366921,42,42
1510367521,18,18
1510368721,57,57
1510369321,52,52
1510369921,42,42
1510370521,33,33
1510371121,25,25
1510372321,61,61
1510373521,56,56
1510374722,56,56
1510375321,21,21
1510375922,17,17
1510377121,23,23
1510377721,39,39
1510378322,39,39
1510378921,31,31
1510379522,27,27
1510380121,19,19
1510380722,24,24
1510381921,31,31
1510382521,27,27
1510383122,33,33
1510383721,34,34
1510384321,44,44
1510384921,24,24
1510385521,35,35
1510386122,23,23
1510386721,72,72
1510387921,78,78
1510388521,60,60
1510389121,43,43
1510389721,50,50
1510390321,45,45
1510390921,42,42
1510391521,51,51
1510392121,36,36
1510393321,43,43
1510393921,21,21
1510395121,57,57
1510396321,60,60
1510396921,30,30
1510397521,34,34
1510398121,17,17
1510398722,45,45
1510399921,63,63
1510400521,61,61
1510401121,48,48
1510401721,56,56
1510402922,46,46
1510403521,30,30
1510404721,59,59
1510405321,42,42
1510405922,42,42
1510406521,22,22
1510407121,43,43
1510407721,20,20
1510408322,38,38
1510408921,16,16
1510409521,3,3
1510410121,22,22
1510410721,28,28
1510411321,26,26
1510412521,47,47
1510413121,39,39
1510414321,35,35
1510414921,10,10
1510415521,46,46
1510416121,33,33
1510417321,41,41
1510418521,76,76
1510419121,32,32
1510420321,42,42
1510420921,46,46
1510421521,30,30
1510422721,47,47
1510424522,66,66
1510425121,24,24
1510425721,5,5
1510426321,24,24
1510426921,33,33
1510427521,33,33
1510428122,31,31
1510428721,38,38
1510429321,51,51
1510429921,32,32
1510431121,55,55
1510431722,32,32
1510432321,32,32
1510432921,25,25
1510433521,42,42
1510434121,48,48
1510434721,79,79
1510435921,72,72
1510436521,57,57
1510437121,49,49
1510437721,47,47
1510438921,68,68
1510439521,33,33
1510440121,44,44
1510440721,49,49
1510441321,30,30
1510441921,25,25
1510442521,46,46
1510443122,24,24
1510443721,35,35
1510444321,38,38
1510445521,65,65
1510446121,39,39
1510446721,49,49
1510447322,55,55
1510448521,75,75
1510449121,48,48
1510450321,52,52
1510451521,66,66
1510452121,30,30
1510453321,54,54
1510453921,43,43
1510454521,35,35
1510455121,30,30
1510456321,57,57
1510456921,39,39
1510457521,45,45
1510458121,18,18
1510458721,48,48
1510459921,70,70
1510460521,33,33
1510461121,24,24
1510461721,26,26
1510462921,47,47
1510463521,55,55
1510464122,48,48
1510464721,55,55
1510465921,62,62
1510466521,40,40
1510467721,58,58
1510468921,79,79
1510469522,62,62
1510470121,41,41
1510470721,46,46
1510471321,37,37
1510472521,70,70
1510473121,33,33
1510473721,28,28
1510474322,40,40
1510474921,28,28
1510475521,46,46
1510476721,37,37
1510477921,52,52
1510479121,72,72
1510479721,48,48
1510480321,21,21
1510480922,25,25
1510481521,61,61
1510482121,72,72
1510482721,57,57
1510483921,86,86
1510484521,65,65
1510485121,67,67
1510485722,51,51
1510486321,40,40
1510487521,57,57
1510488721,59,59
1510489321,52,52
1510489922,44,44
1510490521,31,31
1510491121,52,52
1510492321,73,73
1510492921,57,57
1510495321,57,57
1510495921,19,19
1510496521,35,35
1510497121,57,57
1510498322,59,59
1510498921,34,34
1510499521,51,51
1510500121,22,22
1510500721,33,33
1510501321,58,58
1510501921,65,65
1510502521,57,57
1510503121,66,66
1510503721,59,59
1510504321,45,45
1510504921,61,61
1510505521,51,51
1510506121,23,23
1510506721,41,41
1510507921,49,49
1510509122,54,54
1510510321,51,51
1510510921,54,54
1510511522,57,57
1510512121,71,71
1510512721,41,41
1510513921,59,59
1510514521,30,30
1510515121,23,23
1510515721,43,43
1510516321,34,34
1510516921,45,45
1510517522,29,29
1510518121,57,57
1510518721,27,27
1510519321,30,30
1510519921,39,39
1510520521,47,47
1510521121,29,29
1510522322,57,57
1510522921,37,37
1510523521,57,57
1510524121,54,54
1510524722,46,46
1510525321,41,41
1510525921,17,17
1510526521,18,18
1510527121,46,46
1510528322,53,53
1510528922,30,30
1510529521,32,32
1510530722,63,63
1510531922,62,62
1510532521,36,36
1510533121,40,40
1510534321,61,61
1510535521,56,56
1510536121,34,34
1510536721,42,42
1510537321,45,45
1510537922,27,27
1510539121,28,28
1510539721,46,46
1510540321,41,41
1510541521,52,52
1510542721,24,24
1510543321,17,17
1510543921,35,35
1510544522,37,37
1510545121,21,21
1510546321,63,63
1510547521,52,52
1510548121,55,55
1510548721,45,45
1510549322,57,57
1510550521,62,62
1510551122,9,9
1510552321,42,42
1510552921,30,30
1510553521,33,33
1510554721,19,19
1510555921,46,46
1510556521,10,10
1510557122,30,30
1510558321,51,51
1510558921,33,33
1510560122,46,46
1510560721,22,22
1510561921,41,41
1510563121,66,66
1510563721,17,17
1510564321,30,30
1510564921,38,38
1510565521,34,34
1510566721,16,16
1510567321,28,28
1510567921,14,14
1510568521,17,17
1510569721,43,43
1510570321,31,31
1510570921,22,22
1510571521,27,27
1510572122,34,34
1510572721,30,30
1510573321,27,27
1510573921,24,24
1510574521,25,25
1510575121,28,28
1510575721,16,16
1510576321,14,14
1510576921,33,33
1510577521,35,35
1510578121,25,25
1510578721,21,21
1510579321,16,16
1510581721,51,51
1510582321,23,23
1510582921,29,29
1510583521,17,17
1510584121,14,14
1510584721,10,10
1510585921,28,28
1510586521,6,6
1510587121,24,24
1510587721,20,20
1510588321,35,35
1510588921,25,25
1510589521,32,32
1510590121,20,20
1510590721,30,30
1510591321,27,27
1510591921,37,37
1510593121,45,45
1510594321,42,42
1510594921,12,12
1510596121,34,34
1510596721,23,23
1510597921,31,31
1510599121,54,54
1510599721,48,48
1510600921,55,55
1510601521,43,43
1510602121,35,35
1510602721,8,8
1510603321,56,56
1510603921,24,24
1510604521,49,49
1510605121,49,49
1510605721,41,41
1510606321,45,45
1510606921,34,34
1510607521,56,56
1510608721,42,42
1510609321,19,19
1510609921,36,36
1510611121,59,59
1510611721,29,29
1510612322,27,27
1510613521,64,64
1510614122,23,23
1510614721,20,20
1510615321,23,23
1510615921,31,31
1510617121,41,41
1510617721,23,23
1510618321,37,37
1510618921,19,19
1510619522,32,32
1510620121,29,29
1510620722,29,29
1510621321,30,30
1510621921,40,40
1510623121,48,48
1510623721,21,21
1510624321,18,18
1510624921,24,24
1510625521,50,50
1510626121,62,62
1510626721,33,33
1510627921,48,48
1510628521,44,44
1510629122,52,52
1510629721,43,43
1510634521,7,7
1510635121,30,30
1510635722,9,9
1510636322,14,14
1510636922,22,22
1510638121,47,47
1510639322,54,54
1510639922,24,24
1510640522,27,27
1510641122,18,18
1510641722,2,2
1510642921,26,26
1510644121,48,48
1510644722,17,17
1510645321,12,12
1510646522,26,26
1510647722,21,21
1510648322,10,10
1510648921,7,7
1510649522,26,26
1510650121,4,4
1510650721,5,5
1510651321,6,6
1510651922,7,7
1510652522,16,16
1510653722,35,35
1510654322,28,28
1510654921,28,28
1510655521,5,5
1510656121,9,9
1510657322,16,16
1510657921,9,9
1510658521,14,14
1510659722,20,20
1510660922,32,32
1510661522,26,26
1510662121,7,7
1510663321,30,30
1510663921,15,15
1510664522,10,10
1510666322,27,27
1510667521,40,40
1510668122,17,17
1510668721,20,20
1510669321,27,27
1510670521,33,33
